Occupation code,Occupation title (click on the occupation title to view its profile),Level,Employment,Employment RSE,"Employment per 1,000 jobs",Median hourly wage,Mean hourly wage,Annual mean wage,Mean wage RSE,,,
00-0000,All Occupations,total,144733270,0.001,1000,18.58,24.98,51960,0.001,,,
11-0000,Management Occupations,major,7616650,0.002,52.625,50.11,58.44,121560,0.001,,,
11-1000,Top Executives,minor,2535640,0.003,17.519,49.73,61.66,128240,0.002,,,
11-1011,Chief Executives,detail,195530,0.007,1.351,91.15,96.22,200140,0.005,,,
11-1021,General and Operations Managers,detail,2289770,0.003,15.821,48.52,59.56,123880,0.002,,,
11-1031,Legislators,detail,50330,0.023,0.348,-4,-4,47620,0.015,,,
11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",minor,717220,0.005,4.955,60.7,68.03,141500,0.003,,,
11-2011,Advertising and Promotions Managers,detail,25260,0.03,0.175,56.31,63.99,133090,0.013,,,
11-2020,Marketing and Sales Managers,broad,619500,0.006,4.28,61.59,68.75,143000,0.003,,,
11-2021,Marketing Managers,detail,240440,0.008,1.661,64.56,70.79,147240,0.004,,,
11-2022,Sales Managers,detail,379050,0.006,2.619,59.72,67.46,140320,0.003,,,
11-2031,Public Relations and Fundraising Managers,detail,72460,0.011,0.501,55.19,63.26,131570,0.007,,,
11-3000,Operations Specialties Managers,minor,1853660,0.003,12.807,57.01,63.79,132680,0.002,,,
11-3011,Administrative Services Managers,detail,283570,0.005,1.959,46.24,50.99,106050,0.003,,,
11-3021,Computer and Information Systems Managers,detail,391430,0.007,2.704,68.53,73.49,152860,0.004,,,
11-3031,Financial Managers,detail,608120,0.006,4.202,61.53,70.59,146830,0.004,,,
11-3051,Industrial Production Managers,detail,181310,0.007,1.253,49.7,54.51,113370,0.003,,,
11-3061,Purchasing Managers,detail,69490,0.008,0.48,57.18,60.4,125630,0.004,,,
11-3071,"Transportation, Storage, and Distribution Managers",detail,124810,0.01,0.862,45.54,49.45,102850,0.004,,,
11-3111,Compensation and Benefits Managers,detail,15660,0.015,0.108,58.18,63.87,132860,0.008,,,
11-3121,Human Resources Managers,detail,143580,0.006,0.992,54.47,60.91,126700,0.004,,,
11-3131,Training and Development Managers,detail,35690,0.012,0.247,53.53,58.53,121730,0.005,,,
11-9000,Other Management Occupations,minor,2510140,0.003,17.343,43.33,48.51,100900,0.002,,,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detail,4770,0.054,0.033,32.67,38.43,79940,0.027,,,
11-9021,Construction Managers,detail,278460,0.009,1.924,44.89,49.57,103110,0.004,,,
11-9030,Education Administrators,broad,498200,0.006,3.442,43.3,46.65,97030,0.005,,,
11-9031,"Education Administrators, Preschool and Childcare Center/Program",detail,50650,0.016,0.35,23.05,25.96,53990,0.01,,,
11-9032,"Education Administrators, Elementary and Secondary School",detail,263120,0.008,1.818,-4,-4,98750,0.006,,,
11-9033,"Education Administrators, Postsecondary",detail,143430,0.013,0.991,45.36,53.47,111210,0.008,,,
11-9039,"Education Administrators, All Other",detail,41000,0.016,0.283,39.83,43.06,89570,0.009,,,
11-9041,Architectural and Engineering Managers,detail,188290,0.009,1.301,67.67,71.62,148970,0.004,,,
11-9051,Food Service Managers,detail,219160,0.017,1.514,26.08,28.35,58960,0.006,,,
