occ_code,occ_title,tot_emp,h_median,a_median
11-1011,Chief Executives," 248,760 ",82.50," 171,610 "
11-1021,General and Operations Managers," 1,973,700 ",46.36," 96,430 "
11-2011,Advertising and Promotions Managers," 28,530 ",45.13," 93,880 "
11-2021,Marketing Managers," 174,010 ",59.24," 123,220 "
11-2022,Sales Managers," 352,220 ",52.18," 108,540 "
11-2031,Public Relations and Fundraising Managers," 53,730 ",47.45," 98,700 "
11-3011,Administrative Services Managers," 269,500 ",39.57," 82,310 "
11-3021,Computer and Information Systems Managers," 319,080 ",59.59," 123,950 "
11-3031,Financial Managers," 499,320 ",54.18," 112,700 "
11-3051,Industrial Production Managers," 165,340 ",43.65," 90,790 "
11-3061,Purchasing Managers," 69,620 ",49.89," 103,780 "
11-3071,"Transportation, Storage, and Distribution Managers"," 102,610 ",40.33," 83,890 "
11-3111,Compensation and Benefits Managers," 17,570 ",48.79," 101,490 "
11-3121,Human Resources Managers," 110,650 ",48.46," 100,800 "
11-3131,Training and Development Managers," 28,340 ",47.50," 98,810 "
11-9013,"Farmers, Ranchers, and Other Agricultural Managers"," 3,770 ",33.71," 70,110 "
11-9021,Construction Managers," 213,720 ",40.58," 84,410 "
11-9031,"Education Administrators, Preschool and Childcare Center/Program"," 47,560 ",21.58," 44,890 "
11-9032,"Education Administrators, Elementary and Secondary School"," 226,760 ",*," 88,380 "
11-9033,"Education Administrators, Postsecondary"," 126,340 ",42.02," 87,410 "
11-9041,Architectural and Engineering Managers," 183,430 ",61.62," 128,170 "
11-9051,Food Service Managers," 191,030 ",23.12," 48,080 "
11-9071,Gaming Managers," 4,460 ",31.83," 66,200 "
11-9081,Lodging Managers," 30,950 ",22.51," 46,830 "
11-9111,Medical and Health Services Managers," 300,180 ",43.72," 90,940 "
11-9121,Natural Sciences Managers," 51,900 ",56.17," 116,840 "
11-9131,Postmasters and Mail Superintendents," 17,930 ",31.32," 65,150 "
11-9141,"Property, Real Estate, and Community Association Managers"," 165,960 ",25.58," 53,200 "
11-9151,Social and Community Service Managers," 115,330 ",29.40," 61,160 "
11-9161,Emergency Management Directors," 9,800 ",30.18," 62,780 "
11-9199,"Managers, All Other"," 345,390 ",49.78," 103,530 "
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"," 11,680 ",31.01," 64,490 "
13-1021,"Buyers and Purchasing Agents, Farm Products"," 11,290 ",26.66," 55,450 "
13-1022,"Wholesale and Retail Buyers, Except Farm Products"," 112,290 ",25.18," 52,370 "
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"," 284,480 ",28.74," 59,780 "
13-1031,"Claims Adjusters, Examiners, and Investigators"," 275,500 ",29.42," 61,190 "
13-1032,"Insurance Appraisers, Auto Damage"," 13,180 ",29.65," 61,660 "
13-1041,Compliance Officers," 236,090 ",30.93," 64,340 "
13-1051,Cost Estimators," 202,600 ",28.59," 59,460 "
13-1074,Farm Labor Contractors," 1,210 ",17.03," 35,430 "
13-1081,Logisticians," 120,340 ",35.29," 73,400 "
13-1111,Management Analysts," 567,840 ",38.40," 79,870 "
13-1121,"Meeting, Convention, and Event Planners"," 73,290 ",22.24," 46,260 "
13-1141,"Compensation, Benefits, and Job Analysis Specialists"," 81,520 ",28.76," 59,820 "
13-1151,Training and Development Specialists," 224,110 ",27.33," 56,850 "
13-1161,Market Research Analysts and Marketing Specialists," 430,350 ",29.23," 60,800 "
13-1199,"Business Operations Specialists, All Other"," 938,480 ",31.78," 66,090 "
13-2011,Accountants and Auditors," 1,168,330 ",31.29," 65,080 "
13-2021,Appraisers and Assessors of Real Estate," 60,210 ",24.53," 51,030 "
13-2031,Budget Analysts," 58,740 ",33.71," 70,110 "
13-2041,Credit Analysts," 66,490 ",30.78," 64,030 "
13-2051,Financial Analysts," 250,670 ",37.68," 78,380 "
13-2052,Personal Financial Advisors," 183,420 ",36.21," 75,320 "
13-2053,Insurance Underwriters," 92,540 ",30.66," 63,780 "
13-2061,Financial Examiners," 30,680 ",36.97," 76,890 "
13-2071,Credit Counselors," 27,710 ",19.37," 40,280 "
13-2072,Loan Officers," 301,860 ",29.53," 61,420 "
13-2081,"Tax Examiners and Collectors, and Revenue Agents"," 64,790 ",24.33," 50,610 "
13-2082,Tax Preparers," 67,810 ",16.98," 35,310 "
13-2099,"Financial Specialists, All Other"," 147,330 ",30.05," 62,510 "
15-1111,Computer and Information Research Scientists," 24,380 ",51.10," 106,290 "
15-1121,Computer Systems Analysts," 507,100 ",39.03," 81,190 "
15-1131,Computer Programmers," 312,340 ",36.60," 76,140 "
15-1132,"Software Developers, Applications"," 643,830 ",44.55," 92,660 "
15-1133,"Software Developers, Systems Software"," 373,510 ",48.75," 101,410 "
15-1141,Database Administrators," 114,910 ",37.75," 78,520 "
15-1142,Network and Computer Systems Administrators," 362,310 ",35.58," 74,000 "
15-1150,Computer Support Specialists," 706,360 ",23.64," 49,170 "
15-2011,Actuaries," 20,080 ",45.35," 94,340 "
15-2021,Mathematicians," 3,030 ",49.25," 102,440 "
15-2031,Operations Research Analysts," 72,680 ",35.88," 74,630 "
15-2041,Statisticians," 24,950 ",38.12," 79,290 "
15-2091,Mathematical Technicians," 1,080 ",26.07," 54,230 "
17-1011,"Architects, Except Landscape and Naval"," 84,210 ",35.63," 74,110 "
17-1012,Landscape Architects," 16,330 ",31.15," 64,790 "
17-1021,Cartographers and Photogrammetrists," 11,290 ",28.29," 58,840 "
17-1022,Surveyors," 41,360 ",27.21," 56,590 "
17-2011,Aerospace Engineers," 71,500 ",49.94," 103,870 "
17-2021,Agricultural Engineers," 2,590 ",35.79," 74,450 "
17-2031,Biomedical Engineers," 19,890 ",42.63," 88,670 "
17-2041,Chemical Engineers," 33,300 ",46.02," 95,730 "
17-2051,Civil Engineers," 262,170 ",38.83," 80,770 "
17-2061,Computer Hardware Engineers," 77,670 ",50.12," 104,250 "
17-2071,Electrical Engineers," 168,100 ",42.88," 89,180 "
17-2072,"Electronics Engineers, Except Computer"," 135,350 ",45.31," 94,250 "
17-2081,Environmental Engineers," 53,020 ",39.53," 82,220 "
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"," 23,850 ",37.89," 78,820 "
17-2112,Industrial Engineers," 230,580 ",38.61," 80,300 "
17-2121,Marine Engineers and Naval Architects," 6,640 ",43.05," 89,550 "
17-2131,Materials Engineers," 24,190 ",41.98," 87,330 "
17-2141,Mechanical Engineers," 258,630 ",39.47," 82,100 "
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"," 7,990 ",41.76," 86,870 "
17-2161,Nuclear Engineers," 16,400 ",48.85," 101,600 "
17-2171,Petroleum Engineers," 34,910 ",63.62," 132,320 "
17-2199,"Engineers, All Other"," 120,810 ",44.56," 92,680 "
17-3011,Architectural and Civil Drafters," 88,860 ",23.46," 48,800 "
17-3012,Electrical and Electronics Drafters," 29,600 ",27.53," 57,250 "
17-3013,Mechanical Drafters," 63,180 ",24.77," 51,520 "
17-3021,Aerospace Engineering and Operations Technicians," 10,540 ",30.14," 62,680 "
17-3022,Civil Engineering Technicians," 69,830 ",22.97," 47,780 "
17-3023,Electrical and Electronics Engineering Technicians," 141,150 ",28.15," 58,540 "
17-3024,Electro-Mechanical Technicians," 15,540 ",24.68," 51,330 "
17-3025,Environmental Engineering Technicians," 18,020 ",22.19," 46,160 "
17-3026,Industrial Engineering Technicians," 68,520 ",25.01," 52,020 "
17-3027,Mechanical Engineering Technicians," 46,090 ",25.19," 52,390 "
17-3029,"Engineering Technicians, Except Drafters, All Other"," 65,960 ",29.12," 60,560 "
17-3031,Surveying and Mapping Technicians," 47,950 ",19.55," 40,670 "
19-1011,Animal Scientists," 2,320 ",30.89," 64,260 "
19-1012,Food Scientists and Technologists," 15,010 ",28.67," 59,630 "
19-1013,Soil and Plant Scientists," 13,160 ",28.36," 58,990 "
19-1021,Biochemists and Biophysicists," 29,110 ",40.54," 84,320 "
19-1022,Microbiologists," 19,880 ",32.61," 67,840 "
19-1023,Zoologists and Wildlife Biologists," 18,530 ",27.61," 57,430 "
19-1029,"Biological Scientists, All Other"," 33,100 ",34.96," 72,720 "
19-1031,Conservation Scientists," 18,590 ",29.43," 61,220 "
19-1032,Foresters," 9,220 ",27.46," 57,110 "
19-1041,Epidemiologists," 5,350 ",31.89," 66,330 "
19-1042,"Medical Scientists, Except Epidemiologists"," 104,280 ",38.39," 79,840 "
19-2011,Astronomers," 1,750 ",53.10," 110,450 "
19-2012,Physicists," 17,340 ",52.94," 110,110 "
19-2021,Atmospheric and Space Scientists," 10,800 ",41.84," 87,030 "
19-2031,Chemists," 87,560 ",34.79," 72,350 "
19-2032,Materials Scientists," 7,400 ",42.63," 88,660 "
19-2041,"Environmental Scientists and Specialists, Including Health"," 87,380 ",31.29," 65,090 "
19-2042,"Geoscientists, Except Hydrologists and Geographers"," 34,690 ",44.19," 91,920 "
19-2043,Hydrologists," 6,540 ",36.40," 75,710 "
19-2099,"Physical Scientists, All Other"," 23,290 ",44.82," 93,230 "
19-3011,Economists," 17,230 ",44.75," 93,070 "
19-3022,Survey Researchers," 17,370 ",22.94," 47,720 "
19-3031,"Clinical, Counseling, and School Psychologists"," 104,480 ",32.58," 67,760 "
19-3032,Industrial-Organizational Psychologists," 1,040 ",38.62," 80,330 "
19-3039,"Psychologists, All Other"," 10,870 ",43.82," 91,140 "
19-3041,Sociologists," 2,690 ",34.82," 72,430 "
19-3051,Urban and Regional Planners," 35,940 ",31.56," 65,650 "
19-3091,Anthropologists and Archeologists," 6,560 ",28.06," 58,360 "
19-3092,Geographers," 1,480 ",35.94," 74,750 "
19-3093,Historians," 3,200 ",26.53," 55,180 "
19-3094,Political Scientists," 5,570 ",48.52," 100,920 "
19-3099,"Social Scientists and Related Workers, All Other"," 31,360 ",36.91," 76,770 "
19-4011,Agricultural and Food Science Technicians," 19,390 ",16.72," 34,790 "
19-4021,Biological Technicians," 71,590 ",19.57," 40,710 "
19-4031,Chemical Technicians," 63,880 ",20.82," 43,310 "
19-4041,Geological and Petroleum Technicians," 15,190 ",25.68," 53,410 "
19-4051,Nuclear Technicians," 6,930 ",34.91," 72,610 "
19-4061,Social Science Research Assistants," 26,830 ",18.42," 38,310 "
19-4091,"Environmental Science and Protection Technicians, Including Health"," 34,510 ",20.05," 41,700 "
19-4092,Forensic Science Technicians," 13,430 ",26.13," 54,360 "
19-4093,Forest and Conservation Technicians," 29,740 ",16.79," 34,910 "
19-4099,"Life, Physical, and Social Science Technicians, All Other"," 61,950 ",21.25," 44,200 "
21-1011,Substance Abuse and Behavioral Disorder Counselors," 83,120 ",18.57," 38,620 "
21-1012,"Educational, Guidance, School, and Vocational Counselors"," 241,870 ",25.77," 53,600 "
21-1013,Marriage and Family Therapists," 29,060 ",23.15," 48,160 "
21-1014,Mental Health Counselors," 115,580 ",19.51," 40,580 "
