occ_code,occ_title,tot_emp,h_median,a_median
11-1011,Chief Executives,"195,530",91.15,"189,600"
11-1021,General and Operations Managers,"2,289,770",48.52,"100,930"
11-2011,Advertising and Promotions Managers,"25,260",56.31,"117,130"
11-2021,Marketing Managers,"240,440",64.56,"134,290"
11-2022,Sales Managers,"379,050",59.72,"124,220"
11-2031,Public Relations and Fundraising Managers,"72,460",55.19,"114,800"
11-3011,Administrative Services Managers,"283,570",46.24,"96,180"
11-3021,Computer and Information Systems Managers,"391,430",68.53,"142,530"
11-3031,Financial Managers,"608,120",61.53,"127,990"
11-3051,Industrial Production Managers,"181,310",49.70,"103,380"
11-3061,Purchasing Managers,"69,490",57.18,"118,940"
11-3071,"Transportation, Storage, and Distribution Managers","124,810",45.54,"94,730"
11-3111,Compensation and Benefits Managers,"15,660",58.18,"121,010"
11-3121,Human Resources Managers,"143,580",54.47,"113,300"
11-3131,Training and Development Managers,"35,690",53.53,"111,340"
11-9013,"Farmers, Ranchers, and Other Agricultural Managers","4,770",32.67,"67,950"
11-9021,Construction Managers,"278,460",44.89,"93,370"
11-9031,"Education Administrators, Preschool and Childcare Center/Program","50,650",23.05,"47,940"
11-9032,"Education Administrators, Elementary and Secondary School","263,120",*,"95,310"
11-9033,"Education Administrators, Postsecondary","143,430",45.36,"94,340"
11-9041,Architectural and Engineering Managers,"188,290",67.67,"140,760"
11-9051,Food Service Managers,"219,160",26.08,"54,240"
11-9071,Gaming Managers,"4,300",35.91,"74,700"
11-9081,Lodging Managers,"37,050",25.67,"53,390"
11-9111,Medical and Health Services Managers,"372,670",47.95,"99,730"
11-9121,Natural Sciences Managers,"60,260",59.55,"123,860"
11-9131,Postmasters and Mail Superintendents,"13,770",36.52,"75,970"
11-9141,"Property, Real Estate, and Community Association Managers","202,550",28.05,"58,340"
11-9151,Social and Community Service Managers,"149,870",31.41,"65,320"
11-9161,Emergency Management Directors,"9,550",35.78,"74,420"
11-9199,"Managers, All Other","462,840",51.67,"107,480"
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","14,830",31.75,"66,040"
13-1031,"Claims Adjusters, Examiners, and Investigators","287,730",31.68,"65,900"
13-1032,"Insurance Appraisers, Auto Damage","15,200",30.06,"62,520"
13-1041,Compliance Officers,"300,900",33.10,"68,860"
13-1051,Cost Estimators,"211,600",30.79,"64,040"
13-1074,Farm Labor Contractors,200,22.19,"46,150"
13-1081,Logisticians,"169,820",35.86,"74,600"
13-1111,Management Analysts,"684,470",40.20,"83,610"
13-1121,"Meeting, Convention, and Event Planners","110,120",23.74,"49,370"
13-1141,"Compensation, Benefits, and Job Analysis Specialists","83,550",30.29,"63,000"
13-1151,Training and Development Specialists,"291,380",29.26,"60,870"
13-1161,Market Research Analysts and Marketing Specialists,"638,200",30.35,"63,120"
13-1199,"Business Operations Specialists, All Other","1,060,580",33.91,"70,530"
13-2011,Accountants and Auditors,"1,259,930",33.89,"70,500"
13-2021,Appraisers and Assessors of Real Estate,"57,900",26.43,"54,980"
13-2031,Budget Analysts,"52,810",36.65,"76,220"
13-2041,Credit Analysts,"74,820",34.38,"71,520"
13-2051,Financial Analysts,"306,200",41.18,"85,660"
13-2052,Personal Financial Advisors,"200,260",42.73,"88,890"
13-2053,Insurance Underwriters,"96,040",33.36,"69,380"
13-2061,Financial Examiners,"58,590",38.55,"80,180"
